[28-Aug-2024 02:12:21 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Aug-2024 02:12:21 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Aug-2024 05:55:39 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Aug-2024 05:55:39 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Aug-2024 05:55:39 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Aug-2024 09:34:30 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Aug-2024 09:34:30 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Aug-2024 09:34:30 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[28-Aug-2024 10:21:33 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[28-Aug-2024 10:21:33 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[28-Aug-2024 10:21:33 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[29-Aug-2024 03:09:34 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[29-Aug-2024 03:09:34 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[29-Aug-2024 03:09:34 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[29-Aug-2024 03:09:47 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[29-Aug-2024 03:09:47 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[29-Aug-2024 03:09:47 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[30-Aug-2024 09:48:26 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[30-Aug-2024 09:48:26 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[30-Aug-2024 09:48:26 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[02-Sep-2024 08:13:28 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[02-Sep-2024 08:13:28 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[02-Sep-2024 08:13:28 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[04-Sep-2024 03:56:01 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[04-Sep-2024 03:56:01 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[04-Sep-2024 03:56:01 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[04-Sep-2024 03:56:40 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[04-Sep-2024 03:56:40 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[04-Sep-2024 03:56:40 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[05-Sep-2024 12:57:46 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[05-Sep-2024 12:57:46 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[05-Sep-2024 12:57:46 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[10-Sep-2024 02:08:32 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[10-Sep-2024 02:08:32 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[10-Sep-2024 02:08:32 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[10-Sep-2024 02:09:04 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[10-Sep-2024 02:09:04 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[10-Sep-2024 02:09:04 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[10-Sep-2024 02:43:22 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[10-Sep-2024 02:43:22 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[10-Sep-2024 02:43:22 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[18-Sep-2024 02:50:21 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[18-Sep-2024 02:50:21 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[18-Sep-2024 02:50:21 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[27-Sep-2024 04:10:35 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[27-Sep-2024 04:10:35 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[27-Sep-2024 04:10:35 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[27-Sep-2024 04:14:42 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[27-Sep-2024 04:14:42 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[27-Sep-2024 04:14:42 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[27-Sep-2024 04:15:00 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[27-Sep-2024 04:15:00 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[27-Sep-2024 04:15:00 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[08-Oct-2024 05:02:44 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[08-Oct-2024 05:02:44 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[08-Oct-2024 05:02:44 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[08-Oct-2024 05:03:15 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[08-Oct-2024 05:03:15 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[08-Oct-2024 05:03:15 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[09-Oct-2024 06:59:17 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[09-Oct-2024 06:59:17 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[09-Oct-2024 06:59:17 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[11-Oct-2024 02:05:00 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[11-Oct-2024 02:05:00 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[11-Oct-2024 02:05:00 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[11-Oct-2024 02:05:22 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[11-Oct-2024 02:05:22 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[11-Oct-2024 02:05:22 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[11-Oct-2024 02:07:33 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[11-Oct-2024 02:07:33 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[11-Oct-2024 02:07:33 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
[16-Oct-2024 10:48:29 Europe/Berlin] PHP Warning:  Undefined array key "d1" in C:\xampp\www\starttool_japan\starthits.php on line 8
[16-Oct-2024 10:48:29 Europe/Berlin] PHP Deprecated:  base64_decode(): Passing null to parameter #1 ($string) of type string is deprecated in C:\xampp\www\starttool_japan\starthits.php on line 21
[16-Oct-2024 10:48:29 Europe/Berlin] PHP Warning:  Undefined array key 1 in C:\xampp\www\starttool_japan\starthits.php on line 26
